Countries,Government Size,Economic Freedom
Kuwait,1.190589137,5.46
Jordan,1.529411765,4.83
Togo,1.602104179,3.89
Sweden,1.62691625,5.66
Sweden,1.743562254,5.31
Slovenia,1.752704385,5.31
Israel,1.822888283,3.5
Syria,1.94732609,3.01
Poland,1.999191078,3.51
Nigeria,2.192423594,3.44
Jamaica,2.227593135,3.98
Guyana,2.362745098,6.23
"Congo, Rep. Of",2.372894879,4.3
Slovak Rep,2.392156863,5.42
Nigeria,2.493206444,3.5
Zambia,2.497661885,4.11
Bulgaria,2.544540589,4.17
Zambia,2.559141272,4.73
Sweden,2.599582572,7.32
Sweden,2.610687502,6.45
Sweden,2.618715668,6.96
Poland,2.620392149,5.28
China,2.626018495,3.64
Guyana,2.62745098,6.34
Israel,2.656675749,4.03
Sweden,2.686209729,5.34
Finland,2.689796761,7.52
Israel,2.738774373,4.04
Guyana,2.743137255,5.76
Czech Rep.,2.813030629,5.76
Austria,2.819437203,7.15
"Congo, Rep. Of",2.861857269,4.67
Norway,2.869319815,5.72
Guinea-Bissau,2.870588235,4.8
Hungary,2.916035528,4.48
Egypt,2.91690709,3.75
Hungary,2.935856098,4.89
Norway,2.939555426,6.99
Italy,2.962527432,5.78
Kuwait,2.972868271,3.69
United Kingdom,2.995349816,6.06
Austria,3.047315599,6.46
Norway,3.055012823,5.57
Denmark,3.057371601,6.24
Guyana,3.058823529,6.27
Denmark,3.072011862,7.73
Norway,3.08774655,7.14
Israel,3.103102992,5.91
Austria,3.109224436,6.95
France,3.129519299,6.03
Barbados,3.137648803,6.12
Denmark,3.142467851,6.37
Austria,3.144804714,6.45
Zambia,3.146844219,3.55
Kuwait,3.152588556,4.98
Denmark,3.167304022,7.16
Algeria,3.174870489,4.95
Norway,3.174880205,7.57
Norway,3.183098173,7.26
France,3.22212902,6.97
Norway,3.248049202,6.39
Sweden,3.249236871,7.39
Algeria,3.251466427,3.59
Norway,3.25497643,7.36
Italy,3.330671828,6.75
Niger,3.348529412,4.76
China,3.352941176,5.75
Netherlands,3.360378266,7.48
Nicaragua,3.361716621,1.97
Sweden,3.367954252,7.53
China,3.370588235,5.84
Algeria,3.37715059,5.07
Sweden,3.397343696,7.44
Sweden,3.401558902,7.48
Algeria,3.402811665,5.04
Denmark,3.414625741,7.66
Nicaragua,3.427792916,2.87
Sweden,3.432831705,7.61
Guinea-Bissau,3.436764706,4.78
Netherlands,3.445800611,7.44
Guinea-Bissau,3.455882353,5.05
Algeria,3.461635195,5.01
Sweden,3.466707405,7.58
Guyana,3.479019078,3.27
Algeria,3.48222343,4.83
Angola,3.482747012,4.44
Algeria,3.494739302,5.16
Sweden,3.502865917,7.47
Sweden,3.5028932,7.44
France,3.528948251,7.04
Guinea-Bissau,3.533823529,4.84
New Zealand,3.538276849,6.29
Algeria,3.540150665,5.18
United Kingdom,3.558029231,5.94
France,3.564833718,7.47
Tanzania,3.582434599,3.81
Netherlands,3.586045687,7.54
Trinidad & Tob.,3.588235294,4.33
Denmark,3.599627344,7.88
Belgium,3.602460091,7.32
Benin,3.603398844,4.26
"Congo, Dem. R.",3.603976802,4.26
Sweden,3.61219346,7.4
Algeria,3.616782254,4.99
Belgium,3.619282812,7.35
Botswana,3.619563709,5.34
Sweden,3.620602928,7.44
Portugal,3.632234064,5.62
Denmark,3.633290591,6.09
Netherlands,3.639986376,7.58
China,3.645600588,4.09
Syria,3.647058824,5.26
Sweden,3.655296705,7.43
Sweden,3.656058479,7.62
Ireland,3.664671822,5.96
Sweden,3.665455869,7.65
Sweden,3.666286527,7.67
Sweden,3.667504895,7.5
Algeria,3.711635195,5.06
Angola,3.723248427,3.81
Israel,3.724710194,4.48
Hungary,3.726114621,6.17
Sweden,3.727981247,7.46
Denmark,3.729832505,7.77
Niger,3.730882353,4.72
Uganda,3.734190716,2.75
Greece,3.735834395,5.1
Guinea-Bissau,3.739705882,4.81
Italy,3.747148961,6.62
Syria,3.748077258,4.95
Sweden,3.748188812,7.57
Hungary,3.765304122,4.07
Botswana,3.778772326,5.66
Denmark,3.786335463,7.56
Germany,3.788561201,6.76
Kenya,3.789080226,4.84
Tanzania,3.79013063,3.79
Guyana,3.791176471,5.85
Trinidad & Tob.,3.791812613,4.86
Denmark,3.806310598,7.89
Burundi,3.806593899,5.23
Niger,3.808116652,4.04
Denmark,3.809770498,7.68
Niger,3.814115329,4.66
New Zealand,3.822641642,6.44
Guinea-Bissau,3.825,5.05
Central Afr. Rep.,3.826179805,4.63
Netherlands,3.834361735,7.62
France,3.835935144,7.23
Central Afr. Rep.,3.836604552,4.29
Syria,3.842781155,3.69
"Congo, Rep. Of",3.845303735,4.53
Guyana,3.848039216,6.45
Belgium,3.854074508,7.43
Netherlands,3.8548965,7.74
Portugal,3.855217756,5.46
Tunisia,3.860419621,4.37
Netherlands,3.875245072,7.72
Belgium,3.875398037,7.32
Greece,3.887538532,6.45
Denmark,3.896157831,7.88
Austria,3.905916413,6.04
Netherlands,3.906668345,7.73
Belgium,3.909317851,7.28
Belgium,3.90973654,7.59
China,3.910856195,4.82
Angola,3.917641716,4.57
Niger,3.917647059,4.81
Belgium,3.923812022,7.35
Belgium,3.926230165,7.38
Netherlands,3.933138933,7.71
Barbados,3.936995164,6.1
Luxembourg,3.938267351,7.48
Belgium,3.938828828,7.37
United Kingdom,3.941401907,6.72
France,3.943413038,7.33
Kenya,3.944679754,5.28
Greece,3.945324319,6.81
Egypt,3.945531918,4.32
Barbados,3.948431685,5.83
Central Afr. Rep.,3.952941176,4.74
Niger,3.955882353,5.02
Netherlands,3.956260732,7.96
Chile,3.95630109,3.34
France,3.956350376,7.32
Zambia,3.967036466,3.1
Angola,3.970588235,4.41
Guinea-Bissau,3.975,4.94
Portugal,3.984154819,5.51
Belgium,3.990036464,7.39
Belgium,3.99411364,6.75
Tanzania,4,4.36
Israel,4.000572596,4.79
Czech Rep.,4.012307187,6.82
China,4.021937124,5.07
Croatia,4.026255728,6.28
Luxembourg,4.027368168,7.53
Luxembourg,4.02794581,7.46
Bulgaria,4.033358751,4.82
"Congo, Rep. Of",4.033377341,4.39
Denmark,4.034841321,7.71
Benin,4.039910175,4.2
Belgium,4.041577513,7.32
Algeria,4.058423884,5.36
Netherlands,4.059334429,7.66
France,4.062204446,7.38
Cote d'Ivoire,4.065398933,4.91
Guyana,4.071568627,6.04
Netherlands,4.075507164,7.72
Denmark,4.082037151,7.81
Netherlands,4.08618168,7.58
Italy,4.099441697,5.58
Denmark,4.108414157,7.75
France,4.113772239,7.32
Netherlands,4.114776018,7.64
France,4.11497897,7.31
Madagascar,4.127070532,3.87
Finland,4.127550513,7.71
Ukraine,4.130275338,4.92
Denmark,4.134149451,7.77
Netherlands,4.137697489,7.75
"Congo, Rep. Of",4.143097852,4.63
Croatia,4.145832081,6
Finland,4.150683866,6.99
Finland,4.151079924,7.65
Denmark,4.152548845,8.01
Malawi,4.158587113,5.12
Spain,4.15936551,7.18
Benin,4.16786481,4.54
Luxembourg,4.167885568,7.64
Luxembourg,4.169356156,7.6
Central Afr. Rep.,4.175,4.95
Belgium,4.191136463,7.56
France,4.192064126,7.36
Albania,4.193025324,4.58
Tunisia,4.194167707,4.55
France,4.194322649,7.35
Sri Lanka,4.195537074,4.54
Belgium,4.197427472,7.3
Spain,4.200871564,6.14
Denmark,4.202134096,8
Poland,4.206918036,3.68
Guyana,4.212745098,6
Algeria,4.213483634,5.68
France,4.215739946,6.05
France,4.220057943,7.25
France,4.220356802,7.27
India,4.228596107,5.08
Denmark,4.228814872,8.06
Mali,4.231535012,4.84
Kenya,4.234695063,4.8
Hungary,4.235223994,7.13
Burundi,4.236764706,3.97
Burundi,4.238443061,5.22
Guyana,4.25,6.21
Guinea-Bissau,4.250644109,5.19
Netherlands,4.253227005,7.75
Ireland,4.257072567,6.53
Algeria,4.257093899,4.95
France,4.258579415,7.23
Algeria,4.258888509,5.04
Germany,4.26184084,7.27
Slovenia,4.262028624,7.01
Barbados,4.276186088,6.22
Niger,4.27986211,4.51
Netherlands,4.281420899,7.34
Denmark,4.281930197,7.88
Slovenia,4.288255329,6.82
Luxembourg,4.288814903,7.51
Sri Lanka,4.290427829,4.71
Botswana,4.29359673,6.4
Bangladesh,4.296251143,3.28
Chad,4.301111476,4.45
Malta,4.302669489,5.54
Belgium,4.303640976,7.38
Belgium,4.305462129,7.47
Croatia,4.309230245,6.54
Belgium,4.31332946,7.39
Malawi,4.316465355,4.31
Guinea-Bissau,4.324975188,2.9
Algeria,4.324990491,3.79
Iran,4.330527225,3.73
Bangladesh,4.333333333,3.59
Belgium,4.335263544,7.41
Netherlands,4.338738555,7.29
Germany,4.342502805,7.18
Azerbaijan,4.344933908,5.97
Luxembourg,4.344989404,7.97
Netherlands,4.346073089,6.6
"Congo, Rep. Of",4.348083223,4.69
Lesotho,4.350466252,5.84
Luxembourg,4.351362398,7.6
Belgium,4.35222376,7.55
Portugal,4.353480125,3.74
Germany,4.360148452,7.62
Egypt,4.369227389,4.41
Burundi,4.372746665,4.66
Syria,4.378468561,3.32
Greece,4.379450297,6.46
Guyana,4.381563727,5
Finland,4.389037577,7.7
Denmark,4.392080061,7.97
Botswana,4.393949351,6.76
Turkey,4.39812835,3.59
Ukraine,4.398671502,5.3
Netherlands,4.400371143,7.73
Luxembourg,4.40213399,7.9
Czech Rep.,4.402475557,6.94
Slovenia,4.408527246,6.75
Burundi,4.408617865,5.18
New Zealand,4.411714618,5.77
Finland,4.412270839,6.77
Australia,4.415127582,7.16
Norway,4.41606397,6.19
Denmark,4.417556358,7.97
Finland,4.4190684,7.87
Botswana,4.423361116,6.85
Germany,4.426456467,7.4
Madagascar,4.428443721,4.21
Finland,4.435505097,7.81
France,4.438010899,7.33
Syria,4.439004648,4.88
Finland,4.450216503,7.71
Czech Rep.,4.450829808,6.98
Norway,4.458012377,7.66
Finland,4.458017582,7.79
Finland,4.458736224,7.9
"Congo, Rep. Of",4.46720087,4.55
Finland,4.469032437,7.86
Norway,4.469397226,7.65
Portugal,4.479201764,7
Finland,4.484534781,7.79
Venezuela,4.486107549,4.72
Czech Rep.,4.488892451,7.03
Finland,4.489839644,7.9
Belgium,4.491344767,7.52
Slovenia,4.493809104,6.83
Norway,4.49513252,7.6
India,4.49523059,4.72
Finland,4.499955003,7.9
Finland,4.501546353,7.98
Bulgaria,4.510094605,5.55
Hungary,4.517546883,7
Finland,4.521618048,7.87
Uganda,4.522021008,2.74
Oman,4.533714916,6.64
Oman,4.533714916,6.76
Oman,4.533714916,6.98
Oman,4.533714916,7.05
Guinea-Bissau,4.534036178,4.87
Burundi,4.534850092,3.92
Japan,4.535267724,7.47
Azerbaijan,4.536504247,6.11
"Congo, Rep. Of",4.537987721,4.26
Botswana,4.541008174,7.05
Botswana,4.541008174,7.1
Slovenia,4.543686681,7.08
Burundi,4.544596232,5.01
Egypt,4.544847629,4.72
China,4.547834188,6.27
China,4.547834188,6.28
Tanzania,4.551470588,3.46
Croatia,4.551845248,6.47
China,4.552981247,6.16
China,4.553716541,6.31
South Africa,4.555393493,5.23
Guinea-Bissau,4.556333905,4.3
Iran,4.55718797,3.53
Croatia,4.557973039,6.61
China,4.5588636,6.26
Luxembourg,4.559159797,7.61
Japan,4.55953243,7.46
Tunisia,4.564763963,5.58
Belgium,4.566382194,7.76
Syria,4.570058572,4.08
Belgium,4.570480823,7.41
Slovenia,4.57109375,7.02
Luxembourg,4.575537184,7.98
Malawi,4.575665833,4.89
Israel,4.584954836,6.87
Ukraine,4.586157691,4.71
Zimbabwe,4.586648501,2.93
Zimbabwe,4.586648501,2.96
Barbados,4.590090559,6.31
Algeria,4.5957322,3.33
Jordan,4.596504606,5.5
Vietnam,4.601759576,5.61
United Kingdom,4.60508695,7.71
Venezuela,4.612578138,3.91
Oman,4.612665422,7.04
China,4.614745953,6.07
Azerbaijan,4.617126142,6.06
China,4.617871454,6.09
"Congo, Rep. Of",4.618671458,4.81
Timor-Leste,4.621345078,6
Hungary,4.627975236,7.09
France,4.628321846,5.81
Oman,4.630012823,6.91
Morocco,4.633023573,4.29
China,4.634232249,5.98
Lesotho,4.634794951,5.74
Hungary,4.638052973,7.2
"Congo, Rep. Of",4.639173384,4.48
Slovenia,4.639451029,6.84
Colombia,4.640537568,5.67
Luxembourg,4.644912747,7.93
Hungary,4.645073329,7.15
Israel,4.651264843,6.84
Croatia,4.652885078,6.68
Czech Rep.,4.654293419,6.87
France,4.658070204,7.42
Turkey,4.659164129,3.83
"Congo, Rep. Of",4.659274323,4.54
China,4.666334749,6.15
Spain,4.666421507,6.56
Finland,4.667884127,6.5
Ireland,4.668536155,6.46
Malta,4.671076424,5.34
Burundi,4.672047213,5.46
Hungary,4.672156996,7.22
Malta,4.673121456,5.57
Benin,4.673318541,4.56
Greece,4.67447798,6.88
Mozambique,4.680392157,5.61
Burundi,4.681346981,4.44
Croatia,4.68388754,6.96
Croatia,4.68388754,7.04
Croatia,4.686828717,7
Venezuela,4.68978402,2.88
Fiji,4.691700347,5.72
Pakistan,4.698082625,3.51
Central Afr. Rep.,4.703805227,4.87
"Congo, Dem. R.",4.707414216,3.53
Venezuela,4.708984218,3.32
Australia,4.709452637,6.06
Guinea-Bissau,4.710784314,5.25
France,4.718226179,7.43
Czech Rep.,4.723102923,6.82
Luxembourg,4.723166199,7.78
Benin,4.724113394,5.25
Iran,4.726322327,5.64
Pakistan,4.728240224,4.83
Algeria,4.730597052,4.94
Slovenia,4.730911633,7.01
Luxembourg,4.731913182,8.07
Croatia,4.732390173,6.9
Egypt,4.732476857,5.79
Norway,4.737678578,7.5
Mozambique,4.742369569,5.47
Botswana,4.742806618,5.92
Mozambique,4.743137255,5.61
Japan,4.747094887,7.54
Malawi,4.74937093,4.48
Libya,4.75,4.74
Libya,4.75,4.78
Libya,4.75,4.81
Libya,4.75,4.89
Guyana,4.750980392,6.3
Croatia,4.752248687,6.34
Mozambique,4.752941176,5.49
Fiji,4.754188596,5.57
Luxembourg,4.755443581,7.6
Luxembourg,4.758080221,7.62
Botswana,4.759536785,7.2
Botswana,4.759536785,7.22
Botswana,4.759536785,7.44
Guinea-Bissau,4.765202267,4.93
Hungary,4.765497079,7.19
Namibia,4.767958018,5.64
Italy,4.769358724,6.97
Jordan,4.769592565,5.13
"Congo, Rep. Of",4.770343805,4.72
Austria,4.773015934,7.96
Slovenia,4.776774916,7.05
Luxembourg,4.778208419,8.18
Austria,4.778672579,7.8
Netherlands,4.779687666,7.96
Syria,4.780405411,5.13
Croatia,4.781355185,6.9
Slovenia,4.782562677,6.95
Ukraine,4.787401827,5.4
Cape Verde,4.792010887,6.62
Luxembourg,4.794714698,7.62
Norway,4.79802252,7.47
Kenya,4.801284622,5.11
"Congo, Rep. Of",4.807392111,4.77
Greece,4.810382756,5.95
Guyana,4.811764706,6.33
Morocco,4.813559221,4.74
Burkina Faso,4.81880109,5.93
Panama,4.81956256,6.07
Mozambique,4.82254902,5.67
Oman,4.822888283,6.63
Lesotho,4.823580458,5.98
Ghana,4.823822366,4.95
Iceland,4.826582786,6.48
Kenya,4.83326546,5.37
Kuwait,4.834695731,6.41
Tanzania,4.83627451,6.03
Malaysia,4.83639859,6.61
Oman,4.836512262,6.2
Lesotho,4.836531635,6.49
Austria,4.837385241,7.84
Tanzania,4.838235294,6.04
Croatia,4.839696158,6.93
Japan,4.842620665,7.52
Venezuela,4.842725196,4.22
Czech Rep.,4.843811028,6.74
Algeria,4.844199507,5.63
Austria,4.845168321,7.66
Lesotho,4.845940789,6.08
Croatia,4.847683619,6.24
Panama,4.848733771,7.32
Belize,4.85658573,5.9
Guyana,4.858823529,6.31
Azerbaijan,4.860728883,6.15
Bolivia,4.862254622,4.08
Lesotho,4.871825753,6.47
Venezuela,4.875019795,4.36
Czech Rep.,4.875428873,7.17
Venezuela,4.87728402,3.82
India,4.879712907,4.79
Luxembourg,4.881020596,8.18
Greece,4.881683436,6.88
India,4.881822007,4.27
Cape Verde,4.882112433,6.56
Lesotho,4.882119871,6.38
Syria,4.884873176,5.17
Burkina Faso,4.890244163,5.9
Canada,4.89029003,8
Hungary,4.890497079,7.22
Tunisia,4.892142882,4.44
Senegal,4.892158796,4.32
Gabon,4.895698429,5.37
"Congo, Rep. Of",4.895854324,4.5
Austria,4.89816477,7.62
Lesotho,4.898421375,6.03
Slovenia,4.905268912,6.91
Lesotho,4.905423022,6.19
Venezuela,4.908901667,4.73
Taiwan,4.914890207,6.58
Ireland,4.919903029,7.67
"Congo, Dem. R.",4.920351819,3.92
Namibia,4.920593938,4.9
Angola,4.920653732,5.28
Slovenia,4.923517654,6.58
Iran,4.924391577,5.57
Lesotho,4.924766929,6.32
France,4.925492867,7.42
Turkey,4.92589955,4.65
Croatia,4.929040624,6.3
"Congo, Rep. Of",4.932835876,4.66
Netherlands,4.935417615,7.56
Oman,4.936111556,7.23
Gabon,4.938345488,5.44
Venezuela,4.93978402,2.96
Venezuela,4.93978402,3.28
Mali,4.939907278,5.82
Hungary,4.940052492,7.31
Gabon,4.941837508,4.38
Mali,4.943583748,5.8
Argentina,4.944063721,4.49
Tanzania,4.946078431,6.04
Netherlands,4.947751146,7.01
Syria,4.948039216,5.56
Azerbaijan,4.949775446,6.32
Greece,4.950088726,6.97
Guinea-Bissau,4.95099802,3.12
Japan,4.951871788,7.4
Cote d'Ivoire,4.952179759,5
Taiwan,4.955882353,6.32
Venezuela,4.958166373,3.96
Germany,4.96032915,7.8
Azerbaijan,4.962554618,6.15
Angola,4.964480234,5.16
Portugal,4.967134637,7.17
Mali,4.970588235,5.81
Burkina Faso,4.974509804,5.95
Montenegro,4.976470588,6.74
France,4.980922611,7.5
Burundi,4.982090135,5.06
Guyana,4.98627451,6.2
Slovenia,4.989846153,6.88
Gabon,4.994227841,5.42
Chile,4.995276755,5.05
Oman,4.996405674,7.28
Panama,4.998315177,6.7
Azerbaijan,4.999004247,6.1
Lesotho,4.999547767,6.21
Bangladesh,5,3.29
Saudi Arabia,5,6.24
Saudi Arabia,5,6.42
Saudi Arabia,5,6.55
Saudi Arabia,5,6.55
Unit. Arab Em.,5,6.64
Brunei Darussalam,5,6.75
Brunei Darussalam,5,6.77
Brunei Darussalam,5,6.89
Brunei Darussalam,5,6.92
Brunei Darussalam,5,6.93
Brunei Darussalam,5,7.07
Brunei Darussalam,5,7.07
India,5.000418122,5.02
"Congo, Dem. R.",5.002070023,2.84
Ecuador,5.003205837,4.22
"Congo, Rep. Of",5.00339197,4.69
Hungary,5.006661899,7.27
Iceland,5.009215894,6.9
Slovenia,5.009246273,6.98
Slovenia,5.017310034,6.81
Azerbaijan,5.020710145,6.01
Cote d'Ivoire,5.021120162,5.34
Gabon,5.021433723,5.54
Norway,5.023802398,7.6
Finland,5.026983491,7.88
Nicaragua,5.027259774,3.49
Belize,5.028131399,5.4
Pakistan,5.033182914,4.25
Azerbaijan,5.033516824,6.2
Saudi Arabia,5.035294118,6.71
China,5.039010659,6.46
China,5.042687129,6.39
Slovenia,5.043965216,6.88
Burkina Faso,5.04588075,5.95
China,5.0463636,6.37
China,5.047098894,6.32
Chile,5.048914464,3.58
Norway,5.056945093,7.62
Venezuela,5.057564951,4.38
Saudi Arabia,5.058823529,6.67
Barbados,5.059408559,6.56
Iran,5.059883342,4.29
China,5.060334188,6.39
Norway,5.062903961,7.58
Myanmar,5.064705882,5
Austria,5.065514775,7.7
Burundi,5.065933392,4.88
Burkina Faso,5.066176471,5.96
Namibia,5.072242518,6.4
"Congo, Rep. Of",5.073244911,4.9
Norway,5.073268953,7.56
Austria,5.073794924,7.64
Australia,5.079195653,6.85
Slovenia,5.081057546,6.77
Norway,5.081500613,7.62
Australia,5.083001373,6.93
China,5.0838636,6.38
Brazil,5.084680844,2.96
Portugal,5.084885398,7.27
Nepal,5.085677663,5.87
United States,5.086017391,7.88
Austria,5.086294924,7.58
Oman,5.08631792,6.96
Poland,5.087467944,6.94
Burkina Faso,5.092049936,5.99
Ecuador,5.092125533,4.6
Bulgaria,5.094658383,6.11
Slovak Rep,5.09497764,7.24
Taiwan,5.095588235,5.6
Burkina Faso,5.095588235,5.81
Hungary,5.096332976,7.2
Mauritania,5.097058824,5.68
Greece,5.101971613,6.67
Nigeria,5.116118368,3.85
Austria,5.119624832,7.68
Italy,5.119826425,7.25
Iceland,5.119981514,5.15
Cape Verde,5.120760485,6.68
Brazil,5.125270067,5.75
Croatia,5.126717203,6.78
Austria,5.129769001,7.63
Cape Verde,5.132731875,6.67
Azerbaijan,5.137949013,6.4
Cote d'Ivoire,5.138671777,5.64
Pakistan,5.139131148,4.81
Ecuador,5.139215686,5.31
Namibia,5.141248598,6.65
"Congo, Rep. Of",5.14504198,4.55
Austria,5.148801041,7.94
Italy,5.150050088,5.37
Guinea-Bissau,5.151960784,5.35
Brazil,5.15247595,5.75
Germany,5.152949191,7.64
Ghana,5.15450593,3.6
Finland,5.15453398,7.81
Austria,5.156947548,7.81
Nepal,5.161764706,5.8
Lithuania,5.162885127,7.18
Mauritania,5.165686275,5.7
Croatia,5.167138163,6.72
Portugal,5.168843164,7.21
Portugal,5.16938812,7.31
Tunisia,5.169398267,6.19
"Congo, Rep. Of",5.169840119,4.74
Argentina,5.171984336,4.88
United States,5.173116842,8.07
Azerbaijan,5.175449013,6.49
Belize,5.176840731,5.59
Spain,5.177700298,5.81
Tunisia,5.183990097,6.26
Latvia,5.184133027,7.24
Austria,5.184594887,7.85
Unit. Arab Em.,5.186198456,6.01
Tunisia,5.187548752,4.49
Austria,5.187585026,7.9
Azerbaijan,5.190154896,6.38
Macedonia,5.190445303,6.07
Oman,5.191128386,7.01
Mozambique,5.192947588,5.51
Central Afr. Rep.,5.205882353,5.2
Costa Rica,5.208103386,5.33
Ireland,5.208647219,7.83
Czech Rep.,5.209600898,7.22
Slovak Rep,5.211826205,6.87
Ireland,5.215224362,7.76
Benin,5.216080917,5.74
Estonia,5.216506515,6.23
Portugal,5.216592116,6.2
Czech Rep.,5.217381142,7.46
Fiji,5.218750873,5.97
Germany,5.218849858,7.65
Finland,5.222286947,7.91
Argentina,5.222351338,3.53
Greece,5.222458056,7.01
Greece,5.226585759,6.4
Guinea-Bissau,5.22745098,5.58
Trinidad & Tob.,5.227543694,6.75
Iceland,5.22770476,6.86
Austria,5.229138495,7.85
Canada,5.229610114,7.2
Tunisia,5.229665175,6.37
Portugal,5.230393045,7.25
Morocco,5.234528568,5
Italy,5.234825293,7.19
Cameroon,5.235477836,5.5
Argentina,5.236589766,5.04
Germany,5.238067115,7.67
Czech Rep.,5.239506485,7.17
Oman,5.239621734,6.67
Canada,5.244418191,7.87
Czech Rep.,5.245091097,7.49
Iraq,5.248190078,5.4
Austria,5.249565894,7.62
Syria,5.25054873,4.61
Trinidad & Tob.,5.252646658,6.61
Poland,5.252761121,6.86
Czech Rep.,5.253105466,7.26
Barbados,5.254736881,6.13
Niger,5.260294118,4.86
Japan,5.262225517,7.49
Austria,5.2636016,7.65
Rwanda,5.26411958,7.23
Oman,5.265349493,7.51
Malaysia,5.265445883,6.42
Czech Rep.,5.267697147,7.21
Tunisia,5.268583943,6.16
Indonesia,5.269146477,4.79
